city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,1
Windsor,51.4791,-0.6095,0,0,0,1,1,1,1,2,2,2,3,5,14,,0,0,1,1.5,0,1,12.28219032,416.3148804,94.04368591,8595.942383,298.2677002,24332.07617,187.36586
Wolverhampton,52.5833,-2.1333,0,0,1,1,1,1,2,3,4,6,7,13,50,,0,1,0.5,3.333333333,1,2,4.761277199,53.79335785,46.91669464,1386.166382,230.1847839,9835.69043,88.61232758
Woolwich,51.488,0.063,0,0,0,0,0,1,1,2,2,2,7,24,52,,,0,1,11,,1,50.98160934,5641.499512,129.0082245,14523.84961,294.342865,24460.24414,230.4974365
Worcester,52.192,-2.22,2,3,3,2,3,4,5,6,7,9,10,11,31,-0.333333333,1,0.25,0.2,0.833333333,0.666666667,0.8,18.69732475,1731.143066,75.95960236,5857.736328,235.8709259,13623.78711,64.93871307
Workington,54.6365,-3.5549,1,1,1,1,1,1,1,1,1,1,2,6,6,0,0,0,0,5,0,0,0.528278053,15.22186661,9.311907768,362.1194153,31.77364731,1405.071899,8.034770966
York,53.9583,-1.0803,6,8,11,8,12,7,9,12,12,12,11,17,41,0,-0.125,0.285714286,0.333333333,0.416666667,-0.25,0.333333333,30.68647766,2053.872803,96.09139252,4435.583984,242.7836761,9780.195313,45.33089447
Blackburn,53.748,-2.482,0,1,1,1,1,1,2,2,1,1,4,12,47,0,0,1,0,5,1,-0.5,3.667413473,186.2007294,19.32275009,551.0325317,78.420578,2991.500732,52.59107208
Blackpool,53.8142,-3.0503,0,0,0,0,0,0,0,0,0,0,0,1,3,,,,,,,,2.337548971,28.98386192,15.17016983,437.6717529,52.27148438,2008.366333,23.6038456
Bolton,53.578,-2.429,0,1,1,1,1,1,1,2,2,2,1,13,61,0,0,0,1,5.5,0,1,1.252079844,7.797895908,16.15288162,434.2494812,81.16608429,3116.95459,64.72872925
Burnley,53.789,-2.248,0,1,1,1,1,1,1,1,1,1,2,5,25,0,0,0,0,4,0,0,3.609591484,178.6137238,16.27453613,554.2433472,100.5232391,3931.201172,57.93661499
Bury,53.593,-2.298,0,0,0,0,0,1,1,1,1,1,3,7,25,,,0,0,6,,0,1.783730626,11.10831165,12.45107079,332.1071472,90.79117584,3482.196777,68.63059998
Haslingden,53.705,-2.328,0,0,0,0,0,0,0,0,1,1,2,6,8,,,,,,,,1.246928573,69.35253906,15.25332928,452.3938293,89.86893463,3480.800293,61.51514435
Lancaster,54.047,-2.801,1,1,1,1,1,1,1,1,1,1,8,9,15,0,0,0,0,8,0,0,4.792490005,129.3286743,22.74092865,868.8610229,60.76477814,2193.795654,19.90108681
Liverpool,53.4,-2.9833,0,1,1,1,1,1,1,2,3,6,22,83,376,0,0,0,1,40.5,0,5,4.140464783,82.81279755,22.1117897,1068.721558,58.556633,2588.331055,43.08448792
Manchester,53.4794,-2.2453,2,2,2,2,1,3,6,10,9,8,18,84,303,0,0.5,1,0.666666667,7.4,5,0.333333333,2.571692944,16.01540375,9.573912621,304.7683411,98.08975983,3657.960449,73.8589325
Oldham,53.5444,-2.1169,1,1,1,1,1,1,1,1,1,1,3,12,53,0,0,0,0,11,0,0,1.248028636,7.77218914,7.585288525,166.2261658,109.1022339,4138.717285,74.86266327
Preston,53.759,-2.699,0,1,1,1,1,1,1,2,2,2,6,12,70,0,0,0,1,5,0,1,3.320522547,28.83774567,21.49054718,535.6994019,66.57362366,2545.408447,42.67104721
Rochdale,53.6136,-2.161,0,1,1,1,1,1,1,1,1,1,4,13,42,0,0,0,0,12,0,0,0.642092228,3.998676062,10.58947754,272.1255188,104.3549728,4036.715332,71.37413025
Salford,53.483,-2.2931,0,0,1,1,1,1,1,1,1,1,3,18,85,,0,0,0,17,0,0,2.762156248,17.20152855,11.22325802,360.8877563,93.05981445,3493.185059,72.54211426
Warrington,53.3917,-2.5972,0,0,0,0,0,0,0,0,1,2,4,11,21,,,,,,,,3.886942863,133.6448517,23.53604507,1150.568115,78.48985291,3160.525146,63.70477676
Wigan,53.5448,-2.6318,0,0,0,1,1,1,1,2,2,2,4,11,32,,0,0,1,4.5,0,1,3.844555616,54.27315903,21.3741436,598.1193237,71.08547211,2806.327637,57.61334991
Exeter,50.7167,-3.5333,3,4,5,6,4,7,8,9,11,14,16,17,39,0.5,0.166666667,0.142857143,0.125,0.888888889,1,0.75,14.08851719,378.3412781,31.35202408,1138.05835,106.0145645,5659.314941,31.47506523
Plymouth,50.3714,-4.1422,0,0,1,7,7,3,5,7,7,8,14,16,52,,-0.571428571,0.666666667,0.4,1.285714286,-0.285714286,0.6,9.899671555,917.8666382,32.35273743,2400.478027,68.07131958,3939.123047,18.29228973
Tiverton,50.903,-3.488,0,1,1,2,1,3,3,4,5,7,7,7,11,1,0.5,0,0.333333333,0.75,2,1.333333333,3.945986271,110.3109589,35.34021759,1126.718384,112.3485947,6206.055664,31.33854675
Birmingham,52.48,-1.9025,0,0,1,1,1,1,1,2,4,7,24,71,233,,0,0,1,34.5,0,6,5.818788052,194.8895569,71.84938812,2723.601807,262.546936,11793.36621,86.71099854
Coventry,52.4081,-1.5106,1,2,3,6,10,6,6,6,6,7,12,16,36,2,0,0,0,1.666666667,-0.4,0.166666667,33.92772293,1901.091797,89.03686523,3664.058105,284.6375427,12530.5957,71.62082672
Nuneaton,52.523,-1.468,0,0,1,1,1,1,1,2,2,2,3,5,5,,0,0,1,1.5,0,1,21.52496147,959.2958374,84.64759064,3605.080078,280.9211426,11301.4248,72.98405457
Rugby,52.37,-1.26,0,1,1,1,1,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,4.915400028,249.4844208,77.49570465,3297.750244,291.7389832,12861.61816,56.86144257
Sutton Coldfield,52.563,-1.822,0,1,1,1,1,1,1,2,2,2,2,3,5,0,0,0,1,0.5,0,1,2.203438997,48.82857895,68.52409363,2395.916504,261.8782349,10888.21289,87.85923767
Warwick,52.28,-1.59,1,1,2,2,1,1,2,3,3,3,4,6,11,1,-0.5,1,0.5,1,1,0.5,24.55412674,909.0631104,90.77197266,3737.528564,282.6172791,14015.52441,68.278862
Ipswich,52.0594,1.1556,1,2,2,2,1,3,3,4,6,8,8,11,33,0,0.5,0,0.333333333,1.75,2,1.666666667,8.366201401,125.2639847,51.73093414,2013.466187,172.1968536,6912.091309,33.56232834
Chelmsford,51.7361,0.4798,0,0,1,1,1,1,2,2,2,3,3,4,7,,0,1,0,1,1,0.5,4.794417381,133.1515808,51.17200089,2171.369629,259.3746643,18505.74219,159.5791168
Colchester,51.8917,0.903,2,3,5,7,4,5,6,8,9,10,9,12,19,1.333333333,-0.285714286,0.2,0.333333333,0.5,0.5,0.666666667,14.30682087,824.1286011,47.01919556,2127.833984,186.4411469,9643.737305,57.40979385
West Ham,51.5347,0.0077,1,1,2,2,1,2,2,3,3,3,4,6,19,1,0,0,0.5,1,1,0.5,75.44293976,8706.435547,135.2085724,15627.48438,305.1283875,24981.66797,232.6682739
Darlington,54.527,-1.5526,0,1,1,1,1,1,1,1,1,1,2,5,11,0,0,0,0,4,0,0,2.22102046,19.26488495,35.5586586,1565.74939,134.1163635,5848.463867,21.90646553
Durham,54.7761,-1.5733,1,1,2,2,1,3,2,2,1,1,3,8,13,1,0.5,-0.333333333,0,3,1,-0.5,11.33713722,1469.665039,29.75891113,1859.182861,96.44651031,4100.896973,20.84334564
Gateshead,54.95,-1.6,1,1,1,2,1,1,1,2,2,2,4,9,26,1,-0.5,0,1,3.5,0,1,10.87231445,205.0968781,33.94514465,1696.199219,78.65116882,3205.800781,20.7780056
Hartlepool,54.69,-1.21,0,0,0,0,0,0,0,0,0,1,1,1,10,,,,,,,,1.169099092,8.074730873,24.19550705,1490.681885,107.7685547,4740.16748,22.0263176
South Shields,54.995,-1.43,1,1,1,1,1,2,3,4,5,6,8,11,29,0,1,0.5,0.333333333,1.75,2,1,13.53534031,453.8060913,29.07884598,1368.70752,70.86560059,2951.898438,20.65276337
Sunderland,54.9061,-1.3811,0,1,1,1,1,2,3,3,4,5,10,24,65,0,1,0.5,0,7,2,0.666666667,9.775119781,245.0198059,28.40596008,1576.682861,79.05851746,3380.144531,21.37072563
Newbury,51.401,-1.323,1,1,1,1,1,3,3,2,2,2,3,4,7,0,2,0,-0.333333333,1,2,-0.333333333,4.824153423,81.30106354,38.73348618,3105.464844,233.4012451,15509.71191,58.73603821
Reading,51.4542,-0.9731,0,1,1,2,2,4,4,5,5,5,7,10,21,1,1,0,0.25,1,1,0.25,11.55575371,1992.693237,59.36670685,4176.850586,265.7853088,19889.85352,117.2454681
Windsor,51.4791,-0.6095,0,0,0,1,1,1,1,2,2,2,3,5,14,,0,0,1,1.5,0,1,12.28219032,416.3148804,94.04368591,8595.942383,298.2677002,24332.07617,187.36586
Canterbury,51.28,1.08,2,4,5,6,4,3,4,6,7,8,8,9,28,0.5,-0.5,0.333333333,0.5,0.5,0,1,25.40373039,4005.224854,56.88892365,4891.001953,122.2872391,8480.186523,46.61790848
Chatham,51.37,0.52,1,1,1,1,1,1,1,1,2,5,5,22,49,0,0,0,0,21,0,4,13.3503685,782.697998,50.14182663,2829.227783,224.1974487,18157.88477,165.8449707
Deal,51.2226,1.4006,0,1,1,1,1,1,1,2,2,2,3,5,7,0,0,0,1,1.5,0,1,6.470273972,137.2443237,36.17485428,2910.599121,78.18854523,5549.134277,23.20926476
Dover,51.1295,1.3089,1,2,2,2,1,2,2,3,3,4,7,11,28,0,0,0,0.5,2.666666667,1,1,17.49320602,383.5006104,42.18890381,3054.296875,82.91981506,5727.539063,22.68043327
Gillingham,51.385,0.55,0,1,1,1,1,1,1,1,1,1,2,5,8,0,0,0,0,4,0,0,11.56470203,704.6088257,48.91054153,2788.812256,222.5048676,17894.38867,161.9104156
Gravesend,51.4415,0.3685,0,0,0,1,1,1,1,2,2,2,2,2,17,,0,0,1,0,0,1,6.411281109,443.2833862,71.14252472,5904.63916,256.5991516,21080.3457,198.5195007
Maidstone,51.272,0.529,0,0,0,0,0,2,2,3,3,4,5,8,21,,,0,0.5,1.666666667,,1,19.47306061,860.0615234,51.18372726,2715.298584,206.7261658,16745.56055,147.1882782
Margate,51.385,1.3838,0,0,0,1,1,1,1,1,1,1,2,5,10,,0,0,0,4,0,0,0,0,25.98303986,2640.694092,86.39985657,5978.744629,27.35365486
Rochester,51.375,0.5,1,2,2,2,1,2,2,3,3,3,5,7,17,0,0,0,0.5,1.333333333,1,0.5,13.57699776,782.4780884,50.93124771,2932.200684,227.6121063,18485.64453,169.1227417
Sandwich,51.2747,1.3389,0,0,1,1,1,1,1,2,2,2,3,4,5,,0,0,1,1,0,1,4.144279003,227.6260529,40.19210815,3526.216797,87.49217987,6125.118652,26.27395058
Woolwich,51.488,0.063,0,0,0,0,0,1,1,2,2,2,7,24,52,,,0,1,11,,1,50.98160934,5641.499512,129.0082245,14523.84961,294.342865,24460.24414,230.4974365
Grimsby,53.5595,-0.068,1,1,1,1,1,1,1,1,1,1,1,2,9,0,0,0,0,1,0,0,12.6142807,178.4790039,64.829422,1668.539917,199.5590973,6008.212891,15.30104065
Lincoln,53.2344,-0.5386,8,8,8,9,5,4,3,3,3,4,6,7,18,0.125,-0.555555556,-0.25,0,1.333333333,-0.4,0.333333333,18.61110497,560.9978638,91.11717987,2622.762451,285.4294128,9526.560547,27.30128479
Chester,53.19,-2.89,3,3,3,4,3,4,5,6,5,5,13,15,28,0.333333333,0,0.25,0.2,1.5,0.666666667,0,11.09190464,1068.484863,25.26067543,1705.256592,75.85222626,3326.329346,50.70052338
Congleton,53.162,-2.217,0,1,1,1,1,2,2,2,3,3,3,4,11,0,1,0,0,1,1,0.5,2.461264133,79.69091034,24.87322044,925.3970337,129.3562469,4558.410156,81.43042755
Macclesfield,53.2581,-2.1274,0,1,1,2,1,2,3,3,4,4,7,11,39,1,0,0.5,0,2.666666667,2,0.333333333,0.405695498,16.97580147,15.93249226,602.1053467,125.6292038,4387.79541,80.94988251
Nantwich,53.067,-2.522,1,1,1,1,1,2,3,3,4,4,3,3,6,0,1,0.5,0,0,2,0.333333333,3.275617838,149.4799957,30.85159683,1574.84021,111.8563766,4285.903809,71.3739624
Stockport,53.4083,-2.1494,0,0,1,1,1,1,1,1,1,2,3,20,54,,0,0,0,19,0,1,0.598954737,3.730033875,8.679416656,311.4723816,110.9108429,4016.428955,77.3607254
North Shields,55.0097,-1.4448,0,0,1,1,1,1,1,1,1,1,4,7,11,,0,0,0,6,0,0,13.18834686,453.7443848,29.08412361,1335.076782,70.06414032,2905.289551,20.47395134
Tynemouth,55.017,-1.423,0,0,0,0,0,0,0,0,0,1,4,13,29,,,,,,,,12.28691006,452.8279724,27.99856186,1256.718384,68.53136444,2846.266602,20.40147018
Croydon,51.3727,-0.1099,1,1,2,2,1,1,1,2,2,2,3,6,20,1,-0.5,0,1,2,0,1,19.27252007,2694.298096,125.4034271,13998.25879,280.7312927,23889.54492,224.6287079
Guildford,51.2365,-0.5703,0,1,1,1,1,1,1,1,1,1,2,3,7,0,0,0,0,2,0,0,10.86571503,531.7022705,56.06848526,3812.749512,247.3234253,20181.16992,163.5697174
Bournemouth,50.72,-1.88,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,4.459920883,231.2293701,31.69127083,1262.37439,130.4827728,7627.262207,28.41376305
Gosport,50.7948,-1.1243,0,0,0,0,0,0,0,0,1,1,3,8,7,,,,,,,,9.769235611,384.0961304,41.2252121,2043.715088,120.1987534,6231.321777,32.63014221
Newport,50.701,-1.2883,0,1,1,1,1,1,2,2,2,2,3,4,20,0,0,1,0,1,1,0,4.19422102,125.2273865,30.28960228,1398.687134,107.2038803,5412.967773,28.68449402
Portsmouth,50.8058,-1.0872,0,1,1,1,1,2,1,1,2,3,10,33,72,0,1,-0.5,0,32,0,2,8.425889015,344.5062866,41.42897797,2013.255981,120.7319031,6303.923828,32.59483337
Southampton,50.9,-1.4,1,1,2,3,2,3,3,4,3,3,3,8,35,2,0,0,0.333333333,1,0.5,0,18.97098541,677.1990356,65.78768921,3927.295654,154.3000793,8336.255859,40.53766251
Winchester,51.0632,-1.308,3,4,5,6,3,3,3,3,3,3,4,6,14,0.5,-0.5,0,0,1,0,0,24.22661018,2737.323486,64.31800079,4347.038086,184.0097046,10633.75391,46.59496689
Hereford,52.0565,-2.716,2,2,3,3,2,5,4,3,3,2,5,7,12,0.5,0.666666667,-0.2,-0.25,1.333333333,1,-0.5,11.02798653,230.7947693,44.27583313,2032.750366,155.8805389,9438.985352,38.76024628
London,51.5172,0.1275,11,15,40,70,45,50,100,200,339,575,675,948,2236,3.666666667,-0.285714286,1,1,3.74,1.222222222,4.75,94.76338959,12065.46777,146.9564209,17195.04102,308.1357117,25494.98242,234.4291229
Luton,51.8783,-0.4147,0,1,1,1,1,1,2,2,2,2,2,3,11,0,0,1,0,0.5,1,0,16.94646072,945.3413696,75.60747528,4694.029297,331.1053467,22759.14453,147.2254791
Bath,51.38,-2.36,1,1,2,2,1,2,2,2,3,3,10,33,54,1,0,0,0,15.5,1,0.5,19.18220139,1209.453491,67.21699524,4362.333984,202.3361969,14158.68066,49.03351212
Frome,51.2279,-2.3215,1,1,1,1,1,1,1,1,1,1,3,9,12,0,0,0,0,8,0,0,12.47524261,568.40802,66.12031555,4865.250488,206.1776581,14021.30957,49.83024597
Shepton Mallet,51.193,-2.546,0,1,1,2,1,1,1,1,1,2,3,5,5,1,-0.5,0,0,4,0,1,7.631090641,1354.350952,65.81750488,6116.028809,191.7955017,13044.14844,47.26791
Taunton,51.019,-3.1,2,2,2,2,1,3,3,2,2,2,3,5,10,0,0.5,0,-0.333333333,1.5,2,-0.333333333,13.31269169,574.5614624,52.62820053,3386.273926,140.4869537,8997.080078,38.08507919
Wellington,50.9755,-3.2243,1,2,2,3,2,1,1,2,2,2,4,8,5,0.5,-0.666666667,0,1,3,-0.5,1,10.95219231,482.9728699,49.00548172,2202.757568,129.6220245,7982.182129,35.3181572
Mansfield,53.15,-1.2,0,1,1,1,1,1,1,1,1,1,3,6,11,0,0,0,0,5,0,0,11.60661221,382.8427734,64.53177643,2024.460449,250.5017548,8143.515137,52.52566528
Nottingham,52.95,-1.15,1,2,3,4,2,3,3,4,4,5,12,29,99,1,-0.25,0,0.333333333,6.25,0.5,0.666666667,14.00115681,576.473999,82.34761047,2677.170654,270.7640686,9639.175781,51.72284317
Oxford,51.7519,-1.2578,2,2,3,3,2,5,5,5,6,8,8,12,29,0.5,0.666666667,0,0,1.4,1.5,0.6,36.37462234,2816.448242,74.16119385,4898.217285,262.4760742,16906.78125,49.09113693
Middlesbrough,54.5767,-1.2355,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,5.230481148,232.7805023,31.71945572,1595.493042,129.8885498,5719.67041,23.22542572
Scarborough,54.2773,-0.4017,1,1,1,2,1,1,2,2,3,4,5,6,13,1,-0.5,1,0,2,1,1,5.074532032,63.95207596,25.34093094,892.2641602,126.6829681,5115.745605,17.88295746
Whitby,54.4858,-0.6206,1,1,1,2,1,1,1,2,2,2,4,7,8,1,-0.5,0,1,2.5,0,1,7.849867821,443.9203491,25.67675209,926.9273071,108.8094559,4636.483887,17.40291977
Bilston,52.566,-2.0728,1,1,2,2,1,2,3,3,3,4,5,7,24,1,0,0.5,0,1.333333333,2,0.333333333,4.8772645,102.1567307,49.91252899,1530.227539,238.3713074,10248.95703,89.06024933
Burslem,53.0426,-2.1879,0,1,1,1,1,1,1,1,1,1,3,7,20,0,0,0,0,6,0,0,8.822631836,212.3027802,34.33700943,1033.903076,149.0558319,5189.325195,83.831604
Leek,53.108,-2.0234,0,0,1,1,1,1,1,2,2,2,2,3,9,,0,0,1,0.5,0,1,7.395777225,261.1165161,28.74608803,815.4320068,156.2754059,5282.881348,84.28888702
Lichfield,52.6835,-1.8265,2,2,2,2,1,2,2,2,3,3,4,5,7,0,0,0,0,1.5,1,0.5,0.53202194,11.58472061,60.36252975,1745.201904,248.4573517,9484.789063,88.75312042
Rowley Regis,52.48,-2.06,0,1,1,2,1,1,1,1,1,1,2,5,14,1,-0.5,0,0,4,0,0,9.038250923,290.7119446,59.22859573,2208.687012,248.379303,11394.9043,86.52610016
Sedgley,52.54,-2.123,1,1,1,1,1,1,1,2,2,2,4,10,30,0,0,0,1,4,0,1,5.90424633,145.219635,49.33772659,1575.310791,236.0805359,10416.64258,87.83255768
Stafford,52.8066,-2.1171,1,1,1,1,1,1,1,1,1,2,3,4,12,0,0,0,0,3,0,1,11.14342117,270.4611511,47.47902679,1225.425903,197.8132172,7301.641113,89.06316376
Walsall,52.58,-1.98,1,1,2,2,1,2,3,4,5,6,8,10,26,1,0,0.5,0.333333333,1.5,2,1,2.897525787,63.94011688,55.16013336,1749.75293,247.5749359,10420.02734,89.8164978
West Bromwich,52.519,-1.995,0,1,1,1,1,1,1,1,1,1,2,6,35,0,0,0,0,5,0,0,6.484242439,207.7738647,60.04153824,2082.195557,251.6945648,11121.06738,88.31524658
Wolverhampton,52.5833,-2.1333,0,0,1,1,1,1,2,3,4,6,7,13,50,,0,1,0.5,3.333333333,1,2,4.761277199,53.79335785,46.91669464,1386.166382,230.1847839,9835.69043,88.61232758
Ely,52.3981,0.2622,2,2,2,3,2,2,3,3,4,4,4,5,12,0.5,-0.333333333,0.5,0,0.666666667,0.5,0.333333333,13.89273643,1207.712402,73.67552948,4166.64502,271.7392273,13352.36816,18.60834885
Derby,52.9167,-1.4667,0,1,1,1,1,2,2,1,2,3,6,11,43,0,1,0,-0.5,10,1,0.5,21.60575104,493.6405945,77.27157593,2141.418945,244.2132263,8174.841309,70.43532562
Ilkeston,52.971,-1.309,1,1,1,1,1,1,1,1,1,1,1,2,6,0,0,0,0,1,0,0,20.97070885,660.5457153,80.03665924,2381.377197,253.2007141,8579.682617,60.79756546
Milton Keynes,52.04,-0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4.574668407,153.914032,70.8290329,2757.625,303.2123718,17192.51172,64.208992
Slough,51.51,-0.59,0,0,1,1,1,1,1,1,1,1,1,1,4,,0,0,0,0,0,0,11.26387119,322.0445557,99.52419281,9305.990234,304.1843567,24695.99023,191.0988922
Bristol,51.45,-2.5833,1,2,3,11,10,10,11,12,15,20,50,64,137,4.5,-0.090909091,0.1,0.090909091,4.333333333,0.1,0.818181818,20.90020943,1129.149292,53.07543564,3537.770752,179.5700836,12622.58301,44.40455627
Cheltenham,51.9,-2.0667,0,0,1,1,1,1,1,1,1,2,2,3,35,,0,0,0,2,0,1,17.02498245,1966.968262,77.29257202,7427.76709,241.4599609,15774.44336,48.88722992
Stroud,51.744,-2.215,0,0,0,0,0,0,0,0,1,2,3,5,9,,,,,,,,10.24043274,807.3707886,65.56797791,5577.155273,217.3105621,15056.79297,44.73084641
Salisbury,51.074,-1.7936,0,0,1,8,5,8,7,6,6,7,9,8,12,,0,-0.125,-0.142857143,0.333333333,0.4,0,15.41796684,966.4453125,60.42609787,3271.253662,199.7642822,12444.87402,50.64356613
Warminster,51.205,-2.181,1,1,1,1,1,2,2,2,3,3,5,7,8,0,1,0,0,2.5,1,0.5,9.073125839,466.2132874,62.5145607,3828.753418,211.1661377,14209.36523,51.40886307
Barnsley,53.5537,-1.4791,0,0,1,1,1,1,1,1,1,1,2,4,13,,0,0,0,3,0,0,8.896174431,448.8817444,45.93199539,1776.18103,195.9651184,7255.129395,70.16857147
Doncaster,53.515,-1.133,1,1,1,2,1,1,1,2,2,2,3,6,12,1,-0.5,0,1,2,0,1,5.201687336,137.7608032,60.79333496,2132.371094,250.4480133,8710.936523,57.50418472
Halifax,53.725,-1.863,0,0,1,1,1,2,2,2,3,3,6,12,34,,1,0,0,5,1,0.5,2.209929705,14.79121304,26.79894257,907.2269287,144.1514282,5793.461914,69.09603119
Huddersfield,53.645,-1.7798,0,1,1,2,1,2,2,2,3,3,5,11,31,1,0,0,0,4.5,1,0.5,2.888448954,21.99576378,27.45391083,964.8693848,152.3238525,5984.049316,72.83039093
Leeds,53.7997,-1.5492,0,1,2,3,2,3,4,5,5,5,16,53,172,2,0,0.333333333,0.25,9.6,1,0.25,11.43165207,374.5997925,63.34645081,2705.185059,194.6562805,7896.214844,62.46244049
Rotherham,53.43,-1.357,1,2,2,3,2,3,2,2,1,1,3,8,14,0.5,0,-0.333333333,0,3,0,-0.5,4.95647049,181.8424377,46.7311554,1667.908936,215.7959747,7368.807129,65.70206451
Sheffield,53.3833,-1.4667,0,1,1,1,2,2,3,3,3,3,12,46,135,0,1,0.5,0,14.33333333,0.5,0,4.149477482,109.9492493,36.98040009,1305.695923,198.1790161,6662.926758,68.66581726
Wakefield,53.68,-1.49,0,1,1,2,1,3,3,2,2,2,4,11,22,1,0.5,0,-0.333333333,4.5,2,-0.333333333,15.75157547,707.7212524,57.41874695,2279.94873,198.5532684,7780.043945,67.40814972
Great Yarmouth,52.606,1.729,0,0,1,2,1,4,6,8,9,10,10,17,31,,1,0.5,0.333333333,1.125,5,0.666666667,7.875140667,141.1643829,45.7251358,1444.972412,124.8281937,3939.845947,36.78258896
Norwich,52.63,1.297,5,7,10,13,6,10,14,20,24,30,37,37,68,0.857142857,-0.230769231,0.4,0.428571429,0.85,1.333333333,1.142857143,25.86464119,1310.506714,72.88361359,2547.137451,184.0553436,6198.741699,42.01853561
Leicester,52.6333,-1.1333,2,2,3,3,3,3,3,4,4,5,8,17,61,0.5,0,0,0.333333333,3.25,0,0.666666667,9.076426506,989.09198,77.71144867,3280.732422,288.8048706,11533.36328,53.64445496
Loughborough,52.7705,-1.2046,0,0,0,0,0,1,2,2,2,2,3,5,11,,,1,0,1.5,,0,17.76918411,563.5283203,88.03713989,3161.09082,280.8930359,10498.58203,58.34334946
Beverley,53.845,-0.427,1,2,2,2,1,2,2,2,3,3,4,6,9,0,0,0,0,2,1,0.5,22.11294937,823.8469238,65.29838562,2280.183594,218.9949036,7772.794434,28.72846603
Preston,53.7566,-0.1969,0,1,1,1,1,1,1,2,2,2,6,12,70,0,0,0,1,5,0,1,11.47783852,470.1293945,59.68115997,1950.569214,196.0977325,6419.230957,20.329422
York,53.9583,-1.0803,6,8,11,8,12,7,9,12,12,12,11,17,41,0,-0.125,0.285714286,0.333333333,0.416666667,-0.25,0.333333333,30.68647766,2053.872803,96.09139252,4435.583984,242.7836761,9780.195313,45.33089447
Gillingham,51.0375,-2.2748,0,1,1,1,1,1,1,1,1,1,2,5,8,0,0,0,0,4,0,0,6.391848087,222.0873413,61.24348831,4372.149414,197.052948,13011.60645,45.73300552
Poole,50.7167,-1.9833,0,0,1,1,1,1,1,2,2,2,3,5,9,,0,0,1,1.5,0,1,3.766645193,115.4562683,31.93484688,1354.577393,130.8100281,7873.112793,26.96801186
Ellesmere,52.9082,-2.8944,0,1,1,2,1,1,1,2,2,2,2,3,7,1,-0.5,0,1,0.5,0,1,3.810491085,120.1295929,24.15073204,1316.274658,92.37807465,3872.041504,49.76117706
Newport,52.7691,-2.3787,0,1,1,1,1,1,2,2,2,2,3,4,20,0,0,1,0,1,1,0,11.22867966,301.3912354,50.22588348,1627.75061,170.0003052,6552.71875,80.82091522
Shrewsbury,52.708,-2.754,2,2,3,3,4,4,5,5,6,7,8,15,20,0.5,0.333333333,0.25,0,2,0.25,0.4,11.99328327,778.8770752,40.58387756,1634.037964,123.6893539,5025.746582,58.80352402
Telford,52.6766,-2.4469,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,16.98350906,539.6531982,49.69880676,1699.699829,174.7463379,7137.028809,77.54531097
Wellington,52.7001,-2.5157,1,2,2,3,2,1,1,2,2,2,4,8,5,0.5,-0.666666667,0,1,3,-0.5,1,17.61583519,679.953186,49.36598206,1767.692749,160.7722626,6494.004883,73.77932739
Bromsgrove,52.3353,-2.0579,1,1,2,2,1,2,2,2,3,3,4,6,10,1,0,0,0,2,1,0.5,13.49089146,476.4488525,74.98435211,4029.97998,254.7167358,13077.29492,78.19153595
Dudley,52.508,-2.089,2,2,3,3,2,2,3,3,4,4,5,10,38,0.5,-0.333333333,0.5,0,2.333333333,0.5,0.333333333,7.668800831,231.741272,53.50482559,1847.0271,242.2689819,10928.36621,87.26145172
Kidderminster,52.3885,-2.249,0,1,1,2,1,1,1,2,2,2,3,6,17,1,-0.5,0,1,2,0,1,3.555359602,69.46937561,53.68085861,2634.475342,230.8422394,11577.73047,77.47675323
Worcester,52.192,-2.22,2,3,3,2,3,4,5,6,7,9,10,11,31,-0.333333333,1,0.25,0.2,0.833333333,0.666666667,0.8,18.69732475,1731.143066,75.95960236,5857.736328,235.8709259,13623.78711,64.93871307
Brighton,50.8429,-0.1313,0,1,1,2,1,2,2,2,3,3,5,8,66,1,0,0,0,3,1,0.5,3.721058607,501.6392822,15.53571606,1085.450928,104.6262817,7119.007813,56.8768959
Chichester,50.8365,-0.7792,1,2,2,2,1,2,2,2,3,3,4,5,9,0,0,0,0,1.5,1,0.5,5.397571087,143.4817352,29.84931564,826.2480469,116.6893311,6660.040039,36.16617584
Crawley,51.1092,-0.1872,0,0,1,1,1,1,1,1,1,1,1,2,3,,0,0,0,1,0,0,1.052100539,16.9930954,27.81095505,1900.157837,204.3009491,16842.87109,155.0106049
Carlisle,54.891,-2.944,1,1,1,1,1,1,1,2,2,2,4,9,26,0,0,0,1,3.5,0,1,9.765202522,507.3432617,21.01794243,919.8724976,41.50833893,1572.116943,6.071732521
Whitehaven,54.548,-3.5855,1,1,1,2,1,2,2,2,3,3,5,9,14,1,0,0,0,3.5,1,0.5,5.056676388,128.7438507,9.221582413,264.5174255,31.60785103,1415.415039,8.083200455
