city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,riverDist,portDist,roadDist
Colchester,51.8917,0.903,2,3,5,7,4,5,6,8,9,10,9,12,19,1.333333333,-0.285714286,0.2,0.333333333,0.5,0.5,0.666666667,14.30682087,824.1286011,47.01919556,2127.833984,186.4411469,9643.737305,123.50359,3.474876249,3.688758859
Congleton,53.162,-2.217,0,1,1,1,1,2,2,2,3,3,3,4,11,0,1,0,0,1,1,0.5,2.461264133,79.69091034,24.87322044,925.3970337,129.3562469,4558.410156,51.17574246,36.05767983,19.80977802
Coventry,52.4081,-1.5106,1,2,3,6,10,6,6,6,6,7,12,16,36,2,0,0,0,1.666666667,-0.4,0.166666667,33.92772293,1901.091797,89.03686523,3664.058105,284.6375427,12530.5957,75.26578509,27.53067012,10.77690419
Crawley,51.1092,-0.1872,0,0,1,1,1,1,1,1,1,1,1,2,3,,0,0,0,1,0,0,1.052100539,16.9930954,27.81095505,1900.157837,204.3009491,16842.87109,71.86705617,29.8006753,10.38625754
Croydon,51.3727,-0.1099,1,1,2,2,1,1,1,2,2,2,3,6,20,1,-0.5,0,1,2,0,1,19.27252007,2694.298096,125.4034271,13998.25879,280.7312927,23889.54492,56.7491321,14.48034566,21.1159901
Darlington,54.527,-1.5526,0,1,1,1,1,1,1,1,1,1,2,5,11,0,0,0,0,4,0,0,2.22102046,19.26488495,35.5586586,1565.74939,134.1163635,5848.463867,50.33971263,16.07158739,9.085047738
Deal,51.2226,1.4006,0,1,1,1,1,1,1,2,2,2,3,5,7,0,0,0,1,1.5,0,1,6.470273972,137.2443237,36.17485428,2910.599121,78.18854523,5549.134277,161.1284733,0.288825001,8.595824379
Derby,52.9167,-1.4667,0,1,1,1,1,2,2,1,2,3,6,11,43,0,1,0,-0.5,10,1,0.5,21.60575104,493.6405945,77.27157593,2141.418945,244.2132263,8174.841309,34.30945571,70.78917142,5.671855385
Doncaster,53.515,-1.133,1,1,1,2,1,1,1,2,2,2,3,6,12,1,-0.5,0,1,2,0,1,5.201687336,137.7608032,60.79333496,2132.371094,250.4480133,8710.936523,38.88879188,22.2455455,12.32054274
Dover,51.1295,1.3089,1,2,2,2,1,2,2,3,3,4,7,11,28,0,0,0,0.5,2.666666667,1,1,17.49320602,383.5006104,42.18890381,3054.296875,82.91981506,5727.539063,158.3692624,1.13586547,8.427869722
Dudley,52.508,-2.089,2,2,3,3,2,2,3,3,4,4,5,10,38,0.5,-0.333333333,0.5,0,2.333333333,0.5,0.333333333,7.668800831,231.741272,53.50482559,1847.0271,242.2689819,10928.36621,42.56356874,20.14857789,12.94172627
Durham,54.7761,-1.5733,1,1,2,2,1,3,2,2,1,1,3,8,13,1,0.5,-0.333333333,0,3,1,-0.5,11.33713722,1469.665039,29.75891113,1859.182861,96.44651031,4100.896973,78.09226896,17.14655951,9.500188521
Ellesmere,52.9082,-2.8944,0,1,1,2,1,1,1,2,2,2,2,3,7,1,-0.5,0,1,0.5,0,1,3.810491085,120.1295929,24.15073204,1316.274658,92.37807465,3872.041504,75.28569895,24.46340622,18.79992786
Ely,52.3981,0.2622,2,2,2,3,2,2,3,3,4,4,4,5,12,0.5,-0.333333333,0.5,0,0.666666667,0.5,0.333333333,13.89273643,1207.712402,73.67552948,4166.64502,271.7392273,13352.36816,45.82419939,31.67718259,2.474558926
Exeter,50.7167,-3.5333,3,4,5,6,4,7,8,9,11,14,16,17,39,0.5,0.166666667,0.142857143,0.125,0.888888889,1,0.75,14.08851719,378.3412781,31.35202408,1138.05835,106.0145645,5659.314941,138.4884941,0.407941307,9.839462907
Frome,51.2279,-2.3215,1,1,1,1,1,1,1,1,1,1,3,9,12,0,0,0,0,8,0,0,12.47524261,568.40802,66.12031555,4865.250488,206.1776581,14021.30957,112.4172849,31.81206003,7.09026053
Gateshead,54.95,-1.6,1,1,1,2,1,1,1,2,2,2,4,9,26,1,-0.5,0,1,3.5,0,1,10.87231445,205.0968781,33.94514465,1696.199219,78.65116882,3205.800781,97.5270069,2.334219142,1.150814248
Gillingham,51.385,0.55,0,1,1,1,1,1,1,1,1,1,2,5,8,0,0,0,0,4,0,0,11.56470203,704.6088257,48.91054153,2788.812256,222.5048676,17894.38867,99.11842805,1.299363446,17.76228914
Gillingham,51.0375,-2.2748,0,1,1,1,1,1,1,1,1,1,2,5,8,0,0,0,0,4,0,0,6.391848087,222.0873413,61.24348831,4372.149414,197.052948,13011.60645,119.5365623,40.73347508,14.18525849
Gosport,50.7948,-1.1243,0,0,0,0,0,0,0,0,1,1,3,8,7,,,,,,,,9.769235611,384.0961304,41.2252121,2043.715088,120.1987534,6231.321777,93.56559463,0.4282493,11.82855454
Gravesend,51.4415,0.3685,0,0,0,1,1,1,1,2,2,2,2,2,17,,0,0,1,0,0,1,6.411281109,443.2833862,71.14252472,5904.63916,256.5991516,21080.3457,85.31476613,0.785317963,10.34535874
Great Yarmouth,52.606,1.729,0,0,1,2,1,4,6,8,9,10,10,17,31,,1,0.5,0.333333333,1.125,5,0.666666667,7.875140667,141.1643829,45.7251358,1444.972412,124.8281937,3939.845947,147.7203381,1.537102802,27.02716481
Grimsby,53.5595,-0.068,1,1,1,1,1,1,1,1,1,1,1,2,9,0,0,0,0,1,0,0,12.6142807,178.4790039,64.829422,1668.539917,199.5590973,6008.212891,99.73654363,2.123056434,24.27714475
Guildford,51.2365,-0.5703,0,1,1,1,1,1,1,1,1,1,2,3,7,0,0,0,0,2,0,0,10.86571503,531.7022705,56.06848526,3812.749512,247.3234253,20181.16992,45.79355054,23.7281973,13.39983519
Halifax,53.725,-1.863,0,0,1,1,1,2,2,2,3,3,6,12,34,,1,0,0,5,1,0.5,2.209929705,14.79121304,26.79894257,907.2269287,144.1514282,5793.461914,46.25075904,43.49158099,14.17895979
Hartlepool,54.69,-1.21,0,0,0,0,0,0,0,0,0,1,1,1,10,,,,,,,,1.169099092,8.074730873,24.19550705,1490.681885,107.7685547,4740.16748,70.65013105,1.115990586,19.8901202
Haslingden,53.705,-2.328,0,0,0,0,0,0,0,0,1,1,2,6,8,,,,,,,,1.246928573,69.35253906,15.25332928,452.3938293,89.86893463,3480.800293,69.01326439,26.83521579,7.049109147
Hereford,52.0565,-2.716,2,2,3,3,2,5,4,3,3,2,5,7,12,0.5,0.666666667,-0.2,-0.25,1.333333333,1,-0.5,11.02798653,230.7947693,44.27583313,2032.750366,155.8805389,9438.985352,21.23092488,32.93767111,3.73410315
Huddersfield,53.645,-1.7798,0,1,1,2,1,2,2,2,3,3,5,11,31,1,0,0,0,4.5,1,0.5,2.888448954,21.99576378,27.45391083,964.8693848,152.3238525,5984.049316,51.40110183,43.40186955,14.78468643
Ilkeston,52.971,-1.309,1,1,1,1,1,1,1,1,1,1,1,2,6,0,0,0,0,1,0,0,20.97070885,660.5457153,80.03665924,2381.377197,253.2007141,8579.682617,29.98638524,58.58513201,24.86277154
Ipswich,52.0594,1.1556,1,2,2,2,1,3,3,4,6,8,8,11,33,0,0.5,0,0.333333333,1.75,2,1.666666667,8.366201401,125.2639847,51.73093414,2013.466187,172.1968536,6912.091309,112.0428975,0.784715434,5.212868299
Kendal,54.326,-2.745,0,1,1,2,1,1,1,2,2,2,4,7,10,1,-0.5,0,1,2.5,0,1,0.03079867,0.621318161,13.2317276,447.8401489,62.56245422,2329.498291,86.64045036,11.30212887,6.068740793
Kidderminster,52.3885,-2.249,0,1,1,2,1,1,1,2,2,2,3,6,17,1,-0.5,0,1,2,0,1,3.555359602,69.46937561,53.68085861,2634.475342,230.8422394,11577.73047,25.8827605,4.69230776,5.273295043
Lancaster,54.047,-2.801,1,1,1,1,1,1,1,1,1,1,8,9,15,0,0,0,0,8,0,0,4.792490005,129.3286743,22.74092865,868.8610229,60.76477814,2193.795654,86.07034717,1.11151005,21.11865769
Leeds,53.7997,-1.5492,0,1,2,3,2,3,4,5,5,5,16,53,172,2,0,0.333333333,0.25,9.6,1,0.25,11.43165207,374.5997925,63.34645081,2705.185059,194.6562805,7896.214844,31.06666937,21.22345406,8.528345488
Leek,53.108,-2.0234,0,0,1,1,1,1,1,2,2,2,2,3,9,,0,0,1,0.5,0,1,7.395777225,261.1165161,28.74608803,815.4320068,156.2754059,5282.881348,39.95555803,49.86848939,5.71883623
Leicester,52.6333,-1.1333,2,2,3,3,3,3,3,4,4,5,8,17,61,0.5,0,0,0.333333333,3.25,0,0.666666667,9.076426506,989.09198,77.71144867,3280.732422,288.8048706,11533.36328,57.82591487,55.47413683,12.11307514
Lichfield,52.6835,-1.8265,2,2,2,2,1,2,2,2,3,3,4,5,7,0,0,0,0,1.5,1,0.5,0.53202194,11.58472061,60.36252975,1745.201904,248.4573517,9484.789063,65.13551293,43.25673455,10.87749818
Lincoln,53.2344,-0.5386,8,8,8,9,5,4,3,3,3,4,6,7,18,0.125,-0.555555556,-0.25,0,1.333333333,-0.4,0.333333333,18.61110497,560.9978638,91.11717987,2622.762451,285.4294128,9526.560547,61.45518558,0.791037412,0.782524045
Liverpool,53.4,-2.9833,0,1,1,1,1,1,1,2,3,6,22,83,376,0,0,0,1,40.5,0,5,4.140464783,82.81279755,22.1117897,1068.721558,58.556633,2588.331055,103.4847694,0.486509428,16.40601243
London,51.5072,-0.1275,11,15,40,70,45,50,100,200,339,575,675,948,2236,3.666666667,-0.285714286,1,1,3.74,1.222222222,4.75,94.76338959,12065.46777,146.9564209,17195.04102,308.1357117,25494.98242,50.09926243,0.248438849,3.52603984
Loughborough,52.7705,-1.2046,0,0,0,0,0,1,2,2,2,2,3,5,11,,,1,0,1.5,,0,17.76918411,563.5283203,88.03713989,3161.09082,280.8930359,10498.58203,53.3753159,60.95653804,10.15340006
Luton,51.8783,-0.4147,0,1,1,1,1,1,2,2,2,2,2,3,11,0,0,1,0,0.5,1,0,16.94646072,945.3413696,75.60747528,4694.029297,331.1053467,22759.14453,40.94893094,41.9690824,18.72236302
Macclesfield,53.2581,-2.1274,0,1,1,2,1,2,3,3,4,4,7,11,39,1,0,0.5,0,2.666666667,2,0.333333333,0.405695498,16.97580147,15.93249226,602.1053467,125.6292038,4387.79541,44.80749394,35.3626282,13.72101291
Maidstone,51.272,0.529,0,0,0,0,0,2,2,3,3,4,5,8,21,,,0,0.5,1.666666667,,1,19.47306061,860.0615234,51.18372726,2715.298584,206.7261658,16745.56055,101.8371719,0.750854,2.40261543
Manchester,53.4794,-2.2453,2,2,2,2,1,3,6,10,9,8,18,84,303,0,0.5,1,0.666666667,7.4,5,0.333333333,2.571692944,16.01540375,9.573912621,304.7683411,98.08975983,3657.960449,59.55803807,27.16300719,13.02127012
Mansfield,53.15,-1.2,0,1,1,1,1,1,1,1,1,1,3,6,11,0,0,0,0,5,0,0,11.60661221,382.8427734,64.53177643,2024.460449,250.5017548,8143.515137,19.19530975,40.24120934,31.93889666
Margate,51.385,1.3838,0,0,0,1,1,1,1,1,1,1,2,5,10,,0,0,0,4,0,0,0,0,25.98303986,2640.694092,86.39985657,5978.744629,155.7763416,0.770580659,12.07469909
Middlesbrough,54.5767,-1.2355,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,5.230481148,232.7805023,31.71945572,1595.493042,129.8885498,5719.67041,58.06047158,0.953301606,25.35868743
Milton Keynes,52.04,-0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4.574668407,153.914032,70.8290329,2757.625,303.2123718,17192.51172,43.09953156,55.43856554,12.85302777
Nantwich,53.067,-2.522,1,1,1,1,1,2,3,3,4,4,3,3,6,0,1,0.5,0,0,2,0.333333333,3.275617838,149.4799957,30.85159683,1574.84021,111.8563766,4285.903809,73.29871537,27.39307584,10.37949462
Newbury,51.401,-1.323,1,1,1,1,1,3,3,2,2,2,3,4,7,0,2,0,-0.333333333,1,2,-0.333333333,4.824153423,81.30106354,38.73348618,3105.464844,233.4012451,15509.71191,41.76481942,28.28690752,5.444704097
Newport,51.5833,-3,0,1,1,1,1,1,2,2,2,2,3,4,20,0,0,1,0,1,1,0,,,11.15204716,428.6255798,115.0834808,7572.896973,35.21261699,0.708841845,30.92497019
Newport,50.701,-1.2883,0,1,1,1,1,1,2,2,2,2,3,4,20,0,0,1,0,1,1,0,4.19422102,125.2273865,30.28960228,1398.687134,107.2038803,5412.967773,106.6536971,0.556228994,27.40515232
Newport,52.7691,-2.3787,0,1,1,1,1,1,2,2,2,2,3,4,20,0,0,1,0,1,1,0,11.22867966,301.3912354,50.22588348,1627.75061,170.0003052,6552.71875,57.89711406,17.1140264,6.202352693
North Shields,55.0097,-1.4448,0,0,1,1,1,1,1,1,1,1,4,7,11,,0,0,0,6,0,0,13.18834686,453.7443848,29.08412361,1335.076782,70.06414032,2905.289551,103.9387356,0.869440952,6.398909718
Norwich,52.63,1.297,5,7,10,13,6,10,14,20,24,30,37,37,68,0.857142857,-0.230769231,0.4,0.428571429,0.85,1.333333333,1.142857143,25.86464119,1310.506714,72.88361359,2547.137451,184.0553436,6198.741699,119.6066219,0.567702264,32.04431391
Nottingham,52.95,-1.15,1,2,3,4,2,3,3,4,4,5,12,29,99,1,-0.25,0,0.333333333,6.25,0.5,0.666666667,14.00115681,576.473999,82.34761047,2677.170654,270.7640686,9639.175781,36.93177035,50.98317701,23.95652204
Nuneaton,52.523,-1.468,0,0,1,1,1,1,1,2,2,2,3,5,5,,0,0,1,1.5,0,1,21.52496147,959.2958374,84.64759064,3605.080078,280.9211426,11301.4248,74.30362152,40.29629787,5.267300169
Oldham,53.5444,-2.1169,1,1,1,1,1,1,1,1,1,1,3,12,53,0,0,0,0,11,0,0,1.248028636,7.77218914,7.585288525,166.2261658,109.1022339,4138.717285,56.42303776,38.01999813,4.490462268
Oxford,51.7519,-1.2578,2,2,3,3,2,5,5,5,6,8,8,12,29,0.5,0.666666667,0,0,1.4,1.5,0.6,36.37462234,2816.448242,74.16119385,4898.217285,262.4760742,16906.78125,33.35346752,38.8831678,19.75146061
Plymouth,50.3714,-4.1422,0,0,1,7,7,3,5,7,7,8,14,16,52,,-0.571428571,0.666666667,0.4,1.285714286,-0.285714286,0.6,9.899671555,917.8666382,32.35273743,2400.478027,68.07131958,3939.123047,191.0992973,0.543114496,51.78136959
Poole,50.7167,-1.9833,0,0,1,1,1,1,1,2,2,2,3,5,9,,0,0,1,1.5,0,1,3.766645193,115.4562683,31.93484688,1354.577393,130.8100281,7873.112793,128.4949125,0.535097888,7.373156521
Portsmouth,50.8058,-1.0872,0,1,1,1,1,2,1,1,2,3,10,33,72,0,1,-0.5,0,32,0,2,8.425889015,344.5062866,41.42897797,2013.255981,120.7319031,6303.923828,91.82701762,2.191813475,9.165065218
Preston,53.759,-2.699,0,1,1,1,1,1,1,2,2,2,6,12,70,0,0,0,1,5,0,1,3.320522547,28.83774567,21.49054718,535.6994019,66.57362366,2545.408447,87.09134507,1.682809337,10.65899138
Preston,53.7566,-0.1969,0,1,1,1,1,1,1,2,2,2,6,12,70,0,0,0,1,5,0,1,11.47783852,470.1293945,59.68115997,1950.569214,196.0977325,6419.230957,102.55085,4.485184516,28.27207305
Reading,51.4542,-0.9731,0,1,1,2,2,4,4,5,5,5,7,10,21,1,1,0,0.25,1,1,0.25,11.55575371,1992.693237,59.36670685,4176.850586,265.7853088,19889.85352,20.50148231,3.325025525,24.92989425
Rochdale,53.6136,-2.161,0,1,1,1,1,1,1,1,1,1,4,13,42,0,0,0,0,12,0,0,0.642092228,3.998676062,10.58947754,272.1255188,104.3549728,4036.715332,63.66221046,40.00217761,8.432006441
Rochester,51.375,0.5,1,2,2,2,1,2,2,3,3,3,5,7,17,0,0,0,0.5,1.333333333,1,0.5,13.57699776,782.4780884,50.93124771,2932.200684,227.6121063,18485.64453,96.08103668,1.770714412,20.82698569
Rotherham,53.43,-1.357,1,2,2,3,2,3,2,2,1,1,3,8,14,0.5,0,-0.333333333,0,3,0,-0.5,4.95647049,181.8424377,46.7311554,1667.908936,215.7959747,7368.807129,23.80952935,35.67225143,27.38273511
Rowley Regis,52.48,-2.06,0,1,1,2,1,1,1,1,1,1,2,5,14,1,-0.5,0,0,4,0,0,9.038250923,290.7119446,59.22859573,2208.687012,248.379303,11394.9043,42.23563217,20.66306099,11.41050836
Rugby,52.37,-1.26,0,1,1,1,1,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,4.915400028,249.4844208,77.49570465,3297.750244,291.7389832,12861.61816,58.05361412,36.27230745,5.602291649
Salford,53.483,-2.2931,0,0,1,1,1,1,1,1,1,1,3,18,85,,0,0,0,17,0,0,2.762156248,17.20152855,11.22325802,360.8877563,93.05981445,3493.185059,62.55757205,24.48607895,10.76317332
Salisbury,51.074,-1.7936,0,0,1,8,5,8,7,6,6,7,9,8,12,,0,-0.125,-0.142857143,0.333333333,0.4,0,15.41796684,966.4453125,60.42609787,3271.253662,199.7642822,12444.87402,90.23806898,28.12687602,15.98311504
Sandwich,51.2747,1.3389,0,0,1,1,1,1,1,2,2,2,3,4,5,,0,0,1,1,0,1,4.144279003,227.6260529,40.19210815,3526.216797,87.49217987,6125.118652,155.4061582,0.227635612,8.901802541
Scarborough,54.2773,-0.4017,1,1,1,2,1,1,2,2,3,4,5,6,13,1,-0.5,1,0,2,1,1,5.074532032,63.95207596,25.34093094,892.2641602,126.6829681,5115.745605,74.35856531,1.086525999,25.43022062
Sedgley,52.54,-2.123,1,1,1,1,1,1,1,2,2,2,4,10,30,0,0,0,1,4,0,1,5.90424633,145.219635,49.33772659,1575.310791,236.0805359,10416.64258,43.28321549,20.01365785,7.92676967
Sheffield,53.3833,-1.4667,0,1,1,1,2,2,3,3,3,3,12,46,135,0,1,0.5,0,14.33333333,0.5,0,4.149477482,109.9492493,36.98040009,1305.695923,198.1790161,6662.926758,17.63664679,43.46388743,22.28694496
Shepton Mallet,51.193,-2.546,0,1,1,2,1,1,1,1,1,2,3,5,5,1,-0.5,0,0,4,0,1,7.631090641,1354.350952,65.81750488,6116.028809,191.7955017,13044.14844,128.3948735,28.78570095,9.972755469
Shrewsbury,52.708,-2.754,2,2,3,3,4,4,5,5,6,7,8,15,20,0.5,0.333333333,0.25,0,2,0.25,0.4,11.99328327,778.8770752,40.58387756,1634.037964,123.6893539,5025.746582,51.25925407,0.52673366,9.084999279
Slough,51.51,-0.59,0,0,1,1,1,1,1,1,1,1,1,1,4,,0,0,0,0,0,0,11.26387119,322.0445557,99.52419281,9305.990234,304.1843567,24695.99023,20.26989682,8.133009971,7.176729539
South Shields,54.995,-1.43,1,1,1,1,1,2,3,4,5,6,8,11,29,0,1,0.5,0.333333333,1.75,2,1,13.53534031,453.8060913,29.07884598,1368.70752,70.86560059,2951.898438,102.3331312,1.468459374,5.643232097
Southampton,50.9,-1.4,1,1,2,3,2,3,3,4,3,3,3,8,35,2,0,0,0.333333333,1,0.5,0,18.97098541,677.1990356,65.78768921,3927.295654,154.3000793,8336.255859,88.98787192,0.982034659,7.166062941
Stafford,52.8066,-2.1171,1,1,1,1,1,1,1,1,1,2,3,4,12,0,0,0,0,3,0,1,11.14342117,270.4611511,47.47902679,1225.425903,197.8132172,7301.641113,64.1963644,30.85987944,12.61330278
Stockport,53.4083,-2.1494,0,0,1,1,1,1,1,1,1,2,3,20,54,,0,0,0,19,0,1,0.598954737,3.730033875,8.679416656,311.4723816,110.9108429,4016.428955,50.36444198,31.33792693,6.351988353
Stroud,51.744,-2.215,0,0,0,0,0,0,0,0,1,2,3,5,9,,,,,,,,10.24043274,807.3707886,65.56797791,5577.155273,217.3105621,15056.79297,62.4875226,11.07546522,8.975663671
Sunderland,54.9061,-1.3811,0,1,1,1,1,2,3,3,4,5,10,24,65,0,1,0.5,0,7,2,0.666666667,9.775119781,245.0198059,28.40596008,1576.682861,79.05851746,3380.144531,92.62497125,1.256747235,9.251232571
Sutton Coldfield,52.563,-1.822,0,1,1,1,1,1,1,2,2,2,2,3,5,0,0,0,1,0.5,0,1,2.203438997,48.82857895,68.52409363,2395.916504,261.8782349,10888.21289,77.62408855,39.10475664,2.936901182
Taunton,51.019,-3.1,2,2,2,2,1,3,3,2,2,2,3,5,10,0,0.5,0,-0.333333333,1.5,2,-0.333333333,13.31269169,574.5614624,52.62820053,3386.273926,140.4869537,8997.080078,98.06833669,17.64318668,22.87892113
Telford,52.6766,-2.4469,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,16.98350906,539.6531982,49.69880676,1699.699829,174.7463379,7137.028809,46.88844056,5.855805476,3.551056609
Tiverton,50.903,-3.488,0,1,1,2,1,3,3,4,5,7,7,7,11,1,0.5,0,0.333333333,0.75,2,1.333333333,3.945986271,110.3109589,35.34021759,1126.718384,112.3485947,6206.055664,117.9574415,20.95721263,24.33216449
Tynemouth,55.017,-1.423,0,0,0,0,0,0,0,0,0,1,4,13,29,,,,,,,,12.28691006,452.8279724,27.99856186,1256.718384,68.53136444,2846.266602,104.7980156,0.367776444,7.822001547
Wakefield,53.68,-1.49,0,1,1,2,1,3,3,2,2,2,4,11,22,1,0.5,0,-0.333333333,4.5,2,-0.333333333,15.75157547,707.7212524,57.41874695,2279.94873,198.5532684,7780.043945,50.69678769,27.32799443,13.67550769
Walsall,52.58,-1.98,1,1,2,2,1,2,3,4,5,6,8,10,26,1,0,0.5,0.333333333,1.5,2,1,2.897525787,63.94011688,55.16013336,1749.75293,247.5749359,10420.02734,53.39465315,30.12676583,8.19073996
Warminster,51.205,-2.181,1,1,1,1,1,2,2,2,3,3,5,7,8,0,1,0,0,2.5,1,0.5,9.073125839,466.2132874,62.5145607,3828.753418,211.1661377,14209.36523,104.5645567,40.45371832,13.6140062
Warrington,53.3917,-2.5972,0,0,0,0,0,0,0,0,1,2,4,11,21,,,,,,,,3.886942863,133.6448517,23.53604507,1150.568115,78.48985291,3160.525146,78.14154059,1.95523126,8.318971043
Warwick,52.28,-1.59,1,1,2,2,1,1,2,3,3,3,4,6,11,1,-0.5,1,0.5,1,1,0.5,24.55412674,909.0631104,90.77197266,3737.528564,282.6172791,14015.52441,81.11372725,12.60372782,10.4817945
